date,brent_usd,fx_eurusd,ipc_tot,ipc_h_tabac,ipc_h_tabA,ipc_inf_sj,conso_elek_bt,conso_elek_mt,ipc_alim_01,ipc_elekt_0451,ipc_nrj_045,ipc_loyers_0411,ind_IBTG_01.0,i_esm_Commerce,i_esm_Construction,i_esm_HôtellerieRestauration,i_esm_Industrie,i_esm_Secteurmarchand,i_esm_Services,NBR_SAL,EFF_SAL_ETP,HEURES,MSALB,CH_PAT,CH_SAL,CST,Défense,Civils,Total
2019-12-31,63.3666666666667,1.10723333333333,99.8,99.7,99.7,99.3,63170,56686,100.99107,108.3113,110.41031,107.69291,109.39145,123.76667,111.4,133.6,107.73333,131.06667,155.66667,66754.048513583,57807.9778419707,29308644.7660012,56359751137.1818,16243215912.4979,6566969661.5115,1762102294.40737,2017,8332,10349
2020-03-31,50.4,1.10226666666667,99.8,99.8,99.7,99.5,66680,56866,102.89077,108.3113,110.41031,108.54755,110.5728,124.46667,118.1,132.4,107.9,132.33333,156.6,66538.7977460199,57343.6688287205,29073240.0937632,57095753230.7554,16496567748.5895,6683379507.11948,1795270332.26253,2017,8332,10349
2020-06-30,29.4,1.10063333333333,99.4,99.3,99.2,98.9,67139,49024,103.14088,108.3113,108.25983,108.863,111.05516,116.63333,109.03333,97.4,101.03333,118.06667,143.13333,60968.3046743708,50058.3333951164,25379575.031031,51133128799.6127,14891646171.9424,6032885750.14398,1617801514.44058,2017,8332,10349
2020-09-30,42.9666666666667,1.16943333333333,99.1,99,98.8,99,64788,50375,103.15547,106.90532,101.25053,109.51466,110.944,120.3,118.66667,102.2,105.13333,123.63333,149.73333,64018.880362193,53194.9065718806,26969817.6296943,53056214508.5443,15789137439.1439,6400770687.22873,1652827667.50811,2017,8332,10349
2020-12-31,44.3,1.19276666666667,99,98.9,98.7,99.3,63530,53401,103.08494,106.20233,100.86872,110.86802,110.86556,122.06667,118.9,101.06667,106.16667,124.26667,151.06667,64228.3300720117,53730.2561312499,27241239.8589196,53365020753.6486,15656820237.8754,6339975920.10913,1664879863.25798,2017,8332,10349
2021-03-31,60.8333333333333,1.2056,99.1,99,98.9,99.9,64548,52238,104.9776,106.20233,100.97304,111.29327,111.67859,123.23333,120.5,103.33333,106.9,125.3,150.73333,65004.3056847365,54045.6022546965,27401120.3434002,54111036099.3147,15734830976.7393,6386311462.50611,1686334134.70748,2017,8332,10349
2021-06-30,68.8333333333333,1.20573333333333,99.4,99.3,99.1,99.8,67606,52049,104.97267,106.20233,102.60885,111.82433,112.38186,124.93333,123.23333,105.26667,108.03333,127.13333,151.83333,65392.0408248025,54657.7897006371,27711499.3786387,55062382011.7606,16028789573.807,6496079005.29118,1739703049.79742,2017,8332,10349
2021-09-30,73.5,1.1788,100.2,100.1,99.9,100.1,63566,50006,105.66261,106.20233,104.38785,112.58668,114.15279,125.83333,121.46667,111.5,107.53333,128.9,154.96667,66115.0849247792,55431.9104810406,28103978.6136953,56006254464.6764,16459968583.3932,6668832897.6377,1774734786.05366,2017,8332,10349
2021-12-31,79.6333333333334,1.14396666666667,100.2,100.2,100,100.4,,,106.39144,106.20233,106.71765,113.9063,116.1961,126.9,122.83333,116.73333,107.66667,129.73333,154,66596.0294737644,57643.458133403,29225233.274117,57385140646.4506,16883429406.3083,6853377968.97706,1972205056.22519,2017,8332,10349
2022-03-31,100.166666666667,1.1225,,,,,,,109.7437,111.52105,111.90771,114.65246,118.7771,128.26667,122.83333,123.13333,109.2,132.76667,157.66667,0,0,0,0,0,0,0,2017,8332,10349
2022-06-30,109,,,,,,,,112.54118,111.87366,112.67797,115.67776,121.47686,,,,,,,0,0,0,0,0,0,0,2017,8332,10349
2022-09-30,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2017,8332,10349
2022-12-31,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2017,8332,10349
