DATE,ID_PROD,DATA_TYPE,DTI,DTE,M_B,X_B,M_S,X_S,TVA,RS_S11,RS_S13,CS_S11,CS_S13,CCF_S13,VA_NM,VA_M,P,ATSLP,SSLP,VA,CI,FBCF_S14,FBCF_S11,FBCF_S13,FBCF,VS,CF,CF_S13,CI_S13,CI_S11,P_S11,CF_S14,PIB_E,PIB_R
2012-09-30,000,N,6787.89311224763,119.556630656999,42147.7742367044,3514.62861548621,11505.8237274917,22592.9861025284,9585.98963789925,34187.2538322524,29508.1014747231,8268.73219143655,5058.52427912191,6808.10966473212,41374.7354185771,74973.3913099129,214283.77448884,1120.05255950726,-921.616970990144,116348.12672849,97935.6477603504,6248.92814814498,12459.4107588702,5366.51424439171,24074.8531514069,-423.44351668893,136934.575309274,43761.1035671178,2386.36814854074,95549.2796118097,170522.670921722,93173.4717421562,133040.00169781,133040.001697811
2012-12-31,000,N,6609.90072790295,116.847607061277,37568.4625646988,2873.73940743953,10830.9472722888,21887.6433139224,9287.02719155551,34178.8615420862,29153.0296071701,8349.01516921926,5086.60490933022,6775.29409098238,41014.9286074827,76336.6662663438,216150.84814275,1118.73535060333,-895.017322983309,117351.594873826,98799.253268923,6291.04527261888,12863.3969250109,5158.76951141431,24313.2117090441,-335.860950769898,133249.764785318,43440.7596036353,2425.83099615264,96373.4222727704,172710.088539115,89809.0051816827,133589.088427967,133589.088427967
2013-03-31,000,N,6900.76605164837,103.979363678998,40559.1298474307,3123.18538355659,10401.0307440414,21540.3418806372,9346.6396789412,33586.3536958611,29353.5334169601,8425.06265149907,5205.40242711854,6716.98106562565,41275.9169097043,79815.7636929491,225184.092119113,1156.68801704193,-848.456378678801,121091.680602653,104092.41151646,6285.99834765061,12680.5841910239,4856.3881675565,23822.9707062311,-155.293585202418,140380.253541535,43796.375050255,2520.45814055068,101571.953375909,181387.717068858,96583.87849128,137751.297335285,137751.297335285
2013-06-30,000,N,6640.87349311499,101.751566950653,39582.2581765662,3703.76014703731,10785.8807286083,22050.8529570211,9260.90383688604,33306.1937073489,30216.2210857489,8425.94965482246,5271.69996656572,6666.96642923269,42154.8874815473,79262.9614173829,217854.471623951,1114.42133252542,-720.381824538275,121417.84889893,96436.6227250212,6291.38981842671,12749.8259218932,4814.88036299078,23856.0961033107,-6.0492048944589,138578.896206569,44770.2346739978,2615.34719245045,93821.2755325708,173084.236949953,93808.6615325713,137815.417303869,137815.417303869
2013-09-30,000,N,6717.21630772858,105.392256897459,39201.7079380373,3122.46868671593,10306.5673465963,21395.7800635405,9588.27195799987,33760.3126824989,28949.2660928964,8518.84885645058,5166.90854302137,6625.25018180353,40741.4248177213,73637.3269596014,220050.203904805,1125.04754175102,-634.200313627761,114378.751777323,105671.452127482,6346.0864725027,12793.6542267166,5034.24609771714,24173.9867969365,111.87219015398,131984.647075358,43245.1097129077,2503.68489518637,103167.767232296,176805.094191897,88739.5373624503,131280.479528071,131280.479528072
2013-12-31,000,N,6982.14414750806,113.876812472891,42164.904037966,3643.58578269016,10482.5211807541,21770.0250988013,9503.18452617293,33396.1399142912,29123.9794043945,8482.13883722788,5246.98906329435,6591.83232333813,40962.800791027,77018.9179300664,209011.23235213,1070.84310868288,-537.961483153796,117981.718721093,91029.5136310366,6396.52536142091,14236.9356603664,5514.48537173558,26147.9463935229,198.470599942897,136001.203176539,43398.2805628396,2435.47977181264,88594.033859224,165612.95178929,92602.9226136994,135113.805832776,135113.805832776
2014-03-31,000,N,7148.20740480675,133.843422280068,40462.704107286,4045.29843766814,10714.7569220481,22474.7272717518,9389.9063061209,33649.4202246456,29072.9466485262,8780.41724621936,5478.96478599061,6566.71285383651,41118.6242883533,81245.7347756861,212125.323576014,1090.01648395021,-508.543250651931,122364.359064039,89760.9645119746,6410.37801678596,12199.2044904122,6255.5981850461,24865.1806922442,253.746024472294,139156.298033743,43460.8756918185,2342.25140346523,87418.7131085094,168664.447884196,95695.4223419245,139617.789430545,139617.789430545
2014-06-30,000,N,6753.4428554394,120.713430011766,38811.3058991142,3361.5662376441,10814.6746026724,22930.5596965189,9391.77037477056,34083.5444709966,29153.2875073391,8947.7639095194,5472.64984919104,6558.02892450126,41183.9662810314,80684.2098665642,216908.634975098,1116.82728582618,-500.907526587788,121868.176147596,95040.4588275023,6426.97367351198,11833.9765994747,6865.40403635186,25126.3543093386,287.557784495136,136669.965040846,43475.8073129116,2291.84103188018,92748.6177956221,173432.827662186,93194.1577279344,138750.022567056,138750.022567056
2014-09-30,000,N,7344.86518548634,128.289685208858,40091.4422310677,4513.97838500369,10787.3283004758,23575.7905831647,9460.87359449598,34387.716922631,29040.7414042038,9101.78577968374,5444.63428723699,6565.78053533237,41051.1562267731,80233.1536805372,220393.312364756,1135.0010140424,-493.182990385462,121284.30990731,99109.0024574454,6481.09947993208,12305.1165827365,7343.90292565289,26130.1189883214,299.905880011421,135219.133091201,43370.611724809,2319.45549803591,96789.5469594095,177022.700639947,91848.521366392,138860.156396159,138860.156396159
2014-12-31,000,N,6875.48455426753,93.1534624993081,39130.5477625323,3384.1569396841,11038.2401748038,24602.9224485649,9493.44972461249,34409.318381727,28718.024439931,9160.03306457749,5393.75107758135,6589.96768632985,40701.7432038422,77519.4116772124,226476.729084131,1165.15521618294,-477.366232373265,118221.154881055,108255.574203077,6532.54882976957,12924.7023273764,7691.09485294916,27148.3460100951,290.790311021149,130113.603834215,43136.7052704609,2434.96206661867,105820.612136458,183340.02381367,86976.8985637541,135371.031606244,135371.031606243
